complaint_text,category,subcategory,,,,
" ""The doctor on board is not attending to my child's fever.""",Medical Assistance,Medical Assistance,,,,
"2 ""A passenger fainted",Medical Assistance,Medical Assistance,,,,
"3. ""I injured my leg",Medical Assistance,Medical Assistance,,,,
"4. ""A passenger had a heart attack",Medical Assistance,Medical Assistance,,,,
"5. ""My mother has severe breathing problems",Medical Assistance,Medical Assistance,,,,
"6. ""The medical assistance I requested for my headache is delayed.""",Medical Assistance,Medical Assistance,,,,
"7. ""I asked for medicine for nausea",Medical Assistance,Medical Assistance,,,,
"8. ""A child in my coach is bleeding",Medical Assistance,Medical Assistance,,,,
"9. ""A man collapsed due to heatstroke",Medical Assistance,Medical Assistance,,,,
"10. ""My blood pressure is low",Medical Assistance,Medical Assistance,,,,
"11. ""I am diabetic and need insulin",Medical Assistance,Medical Assistance,,,,
"12. ""A woman gave birth on the train",Medical Assistance,Medical Assistance,,,,
"13. ""A passenger is suffering from a stroke",Medical Assistance,Medical Assistance,,,,
"14. ""My child is running a high fever",Medical Assistance,Medical Assistance,,,,
"15. ""A man is having an epileptic seizure",Medical Assistance,Medical Assistance,,,,
"16. ""My leg is swollen",Medical Assistance,Medical Assistance,,,,
"17. ""A passenger broke his arm",Medical Assistance,Medical Assistance,,,,
"18. ""The first aid kit on the train is empty",Medical Assistance,Medical Assistance,,,,
"19. ""A passenger is suffering from food poisoning",Medical Assistance,Medical Assistance,,,,
"20. ""The elderly woman in our coach fainted",Medical Assistance,Medical Assistance,,,,
"21. ""A child is vomiting repeatedly",Medical Assistance,Medical Assistance,,,,
"22. ""I have severe stomach pain",Medical Assistance,Medical Assistance,,,,
"23. ""A person in our compartment has severe chest pain",Medical Assistance,Medical Assistance,,,,
"24. ""My migraine is unbearable",Medical Assistance,Medical Assistance,,,,
"25. ""A child in our coach is choking",Medical Assistance,Medical Assistance,,,,
"26. ""The train doesn’t have basic medical supplies",Medical Assistance,Medical Assistance,,,,
"27. ""A passenger got burned by hot tea",Medical Assistance,Medical Assistance,,,,
"28. ""A man slipped and hurt his back",Medical Assistance,Medical Assistance,,,,
"29. ""My mother’s asthma attack is worsening",Medical Assistance,Medical Assistance,,,,
"30. ""I sprained my ankle",Medical Assistance,Medical Assistance,,,,
"31. ""A baby is running a high fever",Medical Assistance,Medical Assistance,,,,
"32. ""My father has high blood pressure",Medical Assistance,Medical Assistance,,,,
"33. ""A man has an open wound",Medical Assistance,Medical Assistance,,,,
"34. ""A person was hit by luggage",Medical Assistance,Medical Assistance,,,,
"35. ""A woman is feeling dizzy and weak",Medical Assistance,Medical Assistance,,,,
"36. ""A man is suffering from dehydration",Medical Assistance,Medical Assistance,,,,
"37. ""A diabetic man has fainted due to low blood sugar",Medical Assistance,Medical Assistance,,,,
"38. ""A man is complaining of severe chest pain",Medical Assistance,Medical Assistance,,,,
"39. ""There is no doctor on board",Medical Assistance,Medical Assistance,,,,
"40. ""A woman fell from the upper berth",Medical Assistance,Medical Assistance,,,,
"41. ""I’m having severe toothache",Medical Assistance,Medical Assistance,,,,
"42. ""A passenger’s eye is infected",Medical Assistance,Medical Assistance,,,,
"43. ""I have food allergies and need medical attention",Medical Assistance,Medical Assistance,,,,
"44. ""My arthritis pain has flared up",Medical Assistance,Medical Assistance,,,,
"45. ""A person is struggling to breathe after a bee sting",Medical Assistance,Medical Assistance,,,,
"46. ""My grandmother is weak and dizzy",Medical Assistance,Medical Assistance,,,,
"47. ""A man’s wound has become septic",Medical Assistance,Medical Assistance,,,,
"48. ""A woman has collapsed due to anemia",Medical Assistance,Medical Assistance,,,,
"49. ""I asked for help with my swollen knee",Medical Assistance,Medical Assistance,,,,
"50. ""A baby is having trouble breathing",Medical Assistance,Medical Assistance,,,,
"51. ""A passenger is having severe nosebleeds",Medical Assistance,Medical Assistance,,,,
"52. ""A person had an asthma attack",Medical Assistance,Medical Assistance,,,,
"53. ""I burned my hand on hot water",Medical Assistance,Medical Assistance,,,,
"54. ""A woman in our coach is vomiting blood",Medical Assistance,Medical Assistance,,,,
"55. ""A passenger is coughing up blood",Medical Assistance,Medical Assistance,,,,
"56. ""My son is feeling dizzy and nauseous",Medical Assistance,Medical Assistance,,,,
"57. ""A man’s fever is getting worse",Medical Assistance,Medical Assistance,,,,
"58. ""My mother is in severe pain after falling",Medical Assistance,Medical Assistance,,,,
"59. ""A passenger has a high fever and needs immediate attention",Medical Assistance,Medical Assistance,,,,
"60. ""A child was bitten by an insect",Medical Assistance,Medical Assistance,,,,
"61. ""A passenger has fallen unconscious",Medical Assistance,Medical Assistance,,,,
"62. ""I have severe back pain",Medical Assistance,Medical Assistance,,,,
"63. ""A man is suffering from heatstroke",Medical Assistance,Medical Assistance,,,,
"64. ""My child is having severe diarrhea",Medical Assistance,Medical Assistance,,,,
"65. ""A man’s blood pressure is dangerously high",Medical Assistance,Medical Assistance,,,,
"66. ""My grandmother fainted",Medical Assistance,Medical Assistance,,,,
"67. ""A person in my coach has passed out",Medical Assistance,Medical Assistance,,,,
"68. ""I am experiencing severe chest pain",Medical Assistance,Medical Assistance,,,,
"69. ""A child has an ear infection",Medical Assistance,Medical Assistance,,,,
"70. ""A woman had a miscarriage",Medical Assistance,Medical Assistance,,,,
"71. ""A man is bleeding from his head after falling",Medical Assistance,Medical Assistance,,,,
"72. ""I requested help for my migraine",Medical Assistance,Medical Assistance,,,,
"73. ""A woman in labor is on the train",Medical Assistance,Medical Assistance,,,,
"74. ""My child is suffering from a high fever",Medical Assistance,Medical Assistance,,,,
"75. ""A man has a severe allergic reaction",Medical Assistance,Medical Assistance,,,,
"76. ""A person is choking",Medical Assistance,Medical Assistance,,,,
"77. ""My mother is diabetic and needs insulin",Medical Assistance,Medical Assistance,,,,
"78. ""A person fainted",Medical Assistance,Medical Assistance,,,,
"79. ""A man is complaining of severe chest pain",Medical Assistance,Medical Assistance,,,,
"80. ""A woman fell down the stairs and is injured",Medical Assistance,Medical Assistance,,,,
"81. ""A child’s fever is worsening",Medical Assistance,Medical Assistance,,,,
"82. ""I sprained my wrist",Medical Assistance,Medical Assistance,,,,
"83. ""A person was hit by falling luggage",Medical Assistance,Medical Assistance,,,,
"84. ""A man has severe diarrhea",Medical Assistance,Medical Assistance,,,,
A male passenger made inappropriate advances toward me while boarding the train,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was groped by a fellow passenger while standing in a crowded coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man followed me to the bathroom and made obscene comments,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I felt unsafe as a group of men were making lewd gestures towards me,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man tried to grab my arm when I was waiting at the station platform,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
